epoch: 19, 	iteration: 1000, 	val loss: 0.07731605304777622, 	train loss: 0.07731605304777622, 	best loss: 0.07731605304777622
epoch: 906, 	iteration: 48000, 	val loss: 0.015420275832148035, 	train loss: 0.015420275832148035, 	best loss: 0.015420275832148035
epoch: 925, 	iteration: 49000, 	val loss: 0.015198087361757644, 	train loss: 0.015198087361757644, 	best loss: 0.015198087361757644
epoch: 944, 	iteration: 50000, 	val loss: 0.014513996303197928, 	train loss: 0.014513996303197928, 	best loss: 0.014513996303197928
epoch: 962, 	iteration: 51000, 	val loss: 0.014898191978223622, 	train loss: 0.014898191978223622, 	best loss: 0.014513996303197928
epoch: 981, 	iteration: 52000, 	val loss: 0.014878720955835888, 	train loss: 0.014878720955835888, 	best loss: 0.014513996303197928
epoch: 1000, 	iteration: 53000, 	val loss: 0.014777799101211712, 	train loss: 0.014777799101211712, 	best loss: 0.014513996303197928
epoch: 1019, 	iteration: 54000, 	val loss: 0.014623047632863746, 	train loss: 0.014623047632863746, 	best loss: 0.014513996303197928
epoch: 1038, 	iteration: 55000, 	val loss: 0.013906938874511979, 	train loss: 0.013906938874511979, 	best loss: 0.013906938874511979
epoch: 1057, 	iteration: 56000, 	val loss: 0.013993918548803776, 	train loss: 0.013993918548803776, 	best loss: 0.013906938874511979
epoch: 1076, 	iteration: 57000, 	val loss: 0.013795890428358689, 	train loss: 0.013795890428358689, 	best loss: 0.013795890428358689
epoch: 1095, 	iteration: 58000, 	val loss: 0.014106348584638908, 	train loss: 0.014106348584638908, 	best loss: 0.013795890428358689
epoch: 1113, 	iteration: 59000, 	val loss: 0.013541235484415666, 	train loss: 0.013541235484415666, 	best loss: 0.013541235484415666
epoch: 1132, 	iteration: 60000, 	val loss: 0.013644738801041967, 	train loss: 0.013644738801041967, 	best loss: 0.013541235484415666
epoch: 1151, 	iteration: 61000, 	val loss: 0.01355296122748041, 	train loss: 0.01355296122748041, 	best loss: 0.013541235484415666
epoch: 1170, 	iteration: 62000, 	val loss: 0.013735013844212517, 	train loss: 0.013735013844212517, 	best loss: 0.013541235484415666
epoch: 1189, 	iteration: 63000, 	val loss: 0.01324951400028658, 	train loss: 0.01324951400028658, 	best loss: 0.01324951400028658
epoch: 1208, 	iteration: 64000, 	val loss: 0.013416652297040855, 	train loss: 0.013416652297040855, 	best loss: 0.01324951400028658
epoch: 1227, 	iteration: 65000, 	val loss: 0.013089679240249097, 	train loss: 0.013089679240249097, 	best loss: 0.013089679240249097
epoch: 1245, 	iteration: 66000, 	val loss: 0.013236602905904874, 	train loss: 0.013236602905904874, 	best loss: 0.013089679240249097
epoch: 1264, 	iteration: 67000, 	val loss: 0.012642920905840583, 	train loss: 0.012642920905840583, 	best loss: 0.012642920905840583
epoch: 1283, 	iteration: 68000, 	val loss: 0.012557215556545999, 	train loss: 0.012557215556545999, 	best loss: 0.012557215556545999
epoch: 1302, 	iteration: 69000, 	val loss: 0.01262263874009659, 	train loss: 0.01262263874009659, 	best loss: 0.012557215556545999
epoch: 1321, 	iteration: 70000, 	val loss: 0.012459193186135963, 	train loss: 0.012459193186135963, 	best loss: 0.012459193186135963
epoch: 1340, 	iteration: 71000, 	val loss: 0.01205997198051773, 	train loss: 0.01205997198051773, 	best loss: 0.01205997198051773
epoch: 1359, 	iteration: 72000, 	val loss: 0.012264534033529345, 	train loss: 0.012264534033529345, 	best loss: 0.01205997198051773
epoch: 1378, 	iteration: 73000, 	val loss: 0.012601726712659002, 	train loss: 0.012601726712659002, 	best loss: 0.01205997198051773
epoch: 1396, 	iteration: 74000, 	val loss: 0.011911710576328914, 	train loss: 0.011911710576328914, 	best loss: 0.011911710576328914
epoch: 1415, 	iteration: 75000, 	val loss: 0.012472380286053521, 	train loss: 0.012472380286053521, 	best loss: 0.011911710576328914
epoch: 1434, 	iteration: 76000, 	val loss: 0.011783533590423757, 	train loss: 0.011783533590423757, 	best loss: 0.011783533590423757
epoch: 1453, 	iteration: 77000, 	val loss: 0.01192026887179236, 	train loss: 0.01192026887179236, 	best loss: 0.011783533590423757
epoch: 1472, 	iteration: 78000, 	val loss: 0.011584031486767345, 	train loss: 0.011584031486767345, 	best loss: 0.011584031486767345
epoch: 1491, 	iteration: 79000, 	val loss: 0.011436472437693737, 	train loss: 0.011436472437693737, 	best loss: 0.011436472437693737
epoch: 1510, 	iteration: 80000, 	val loss: 0.011606372613547137, 	train loss: 0.011606372613547137, 	best loss: 0.011436472437693737
epoch: 1547, 	iteration: 82000, 	val loss: 0.02295140939302655, 	train loss: 0.02295140939302655, 	best loss: 0.011436472437693737
epoch: 1566, 	iteration: 83000, 	val loss: 0.011166870127151923, 	train loss: 0.011166870127151923, 	best loss: 0.011166870127151923
epoch: 1585, 	iteration: 84000, 	val loss: 0.011709160767612048, 	train loss: 0.011709160767612048, 	best loss: 0.011166870127151923
epoch: 1604, 	iteration: 85000, 	val loss: 0.011227799122221768, 	train loss: 0.011227799122221768, 	best loss: 0.011166870127151923
epoch: 1623, 	iteration: 86000, 	val loss: 0.011526883481186814, 	train loss: 0.011526883481186814, 	best loss: 0.011166870127151923
epoch: 1642, 	iteration: 87000, 	val loss: 0.011211765449261293, 	train loss: 0.011211765449261293, 	best loss: 0.011166870127151923
epoch: 1661, 	iteration: 88000, 	val loss: 0.010668383945070673, 	train loss: 0.010668383945070673, 	best loss: 0.010668383945070673
epoch: 1679, 	iteration: 89000, 	val loss: 0.011061500620562582, 	train loss: 0.011061500620562582, 	best loss: 0.010668383945070673
epoch: 1698, 	iteration: 90000, 	val loss: 0.011014263788398239, 	train loss: 0.011014263788398239, 	best loss: 0.010668383945070673
epoch: 1716, 	iteration: 91000, 	val loss: 0.011229133928471129, 	train loss: 0.011229133928471129, 	best loss: 0.010668383945070673
epoch: 1735, 	iteration: 92000, 	val loss: 0.010986216775840149, 	train loss: 0.010986216775840149, 	best loss: 0.010668383945070673
epoch: 1754, 	iteration: 93000, 	val loss: 0.011049039090517907, 	train loss: 0.011049039090517907, 	best loss: 0.010668383945070673
epoch: 1773, 	iteration: 94000, 	val loss: 0.01120019347546622, 	train loss: 0.01120019347546622, 	best loss: 0.010668383945070673
epoch: 1792, 	iteration: 95000, 	val loss: 0.01051650546163728, 	train loss: 0.01051650546163728, 	best loss: 0.01051650546163728
epoch: 1811, 	iteration: 96000, 	val loss: 0.01046266975486651, 	train loss: 0.01046266975486651, 	best loss: 0.01046266975486651
epoch: 1830, 	iteration: 97000, 	val loss: 0.010540363058098592, 	train loss: 0.010540363058098592, 	best loss: 0.01046266975486651
epoch: 1848, 	iteration: 98000, 	val loss: 0.01084701220743591, 	train loss: 0.01084701220743591, 	best loss: 0.01046266975486651
epoch: 1867, 	iteration: 99000, 	val loss: 0.010456283301813528, 	train loss: 0.010456283301813528, 	best loss: 0.010456283301813528
epoch: 1886, 	iteration: 100000, 	val loss: 0.01047675465123757, 	train loss: 0.01047675465123757, 	best loss: 0.010456283301813528
